,line,from,to,weight
132,U8,Theresienstraße,Königsplatz,60
133,U8,Königsplatz,Hauptbahnhof,60
134,U8,Hauptbahnhof,Sendlinger Tor,60
135,U8,Sendlinger Tor,Fraunhoferstraße,60
136,U8,Fraunhoferstraße,Kolumbusplatz,120
137,U8,Kolumbusplatz,Silberhornstraße,60
138,U8,Silberhornstraße,Untersbergstraße,60
139,U8,Untersbergstraße,Giesing Bahnhof,60
140,U8,Giesing Bahnhof,Karl-Preis-Platz,60
141,U8,Karl-Preis-Platz,Innsbrucker Ring,60
142,U8,Innsbrucker Ring,Michaelibad,120
143,U8,Michaelibad,Quiddestraße,120
144,U8,Quiddestraße,Neuperlach Zentrum,60
