,from,to,distance
140,Straubing,Schierling,40420.8
141,Straubing,Schrobenhausen,147853.5
142,Straubing,Erding,112797.7
143,Straubing,Pfarrkirchen,67711.9
144,Straubing,Osterhofen,58387.0
145,Straubing,Eichstätt,131798.7
146,Straubing,Neuburg a.d. Donau,154977.9
147,Straubing,Kösching,115091.2
148,Straubing,Pfaffenhofen a.d. Ilm,126070.3
149,Straubing,München,143965.8
150,Passau,Augsburg,244460.6
151,Passau,Ingolstadt,214037.6
152,Passau,Regensburg,121721.2
153,Passau,Landshut,122004.5
154,Passau,Straubing,88138.1
155,Passau,Passau,0.0
156,Passau,Deggendorf,52734.7
157,Passau,Burghausen,84210.2
158,Passau,"Weißenburg, Bayern",261615.8
159,Passau,Freising,157944.8
160,Passau,Moosburg a.d. Isar,138767.2
161,Passau,Vilsbiburg,107669.9
162,Passau,Landau a.d. Isar,81511.9
163,Passau,Mainburg,150097.7
164,Passau,Abensberg,158703.7
165,Passau,Schierling,141408.9
166,Passau,Schrobenhausen,222898.8
167,Passau,Erding,162736.8
168,Passau,Pfarrkirchen,58528.2
169,Passau,Osterhofen,39141.6
170,Passau,Eichstätt,206844.0
171,Passau,Neuburg a.d. Donau,230023.2
172,Passau,Kösching,190136.5
173,Passau,Pfaffenhofen a.d. Ilm,199840.6
174,Passau,München,192449.5
175,Deggendorf,Augsburg,196450.3
176,Deggendorf,Ingolstadt,166367.9
177,Deggendorf,Regensburg,74051.5
178,Deggendorf,Landshut,73994.2
179,Deggendorf,Straubing,40468.4
180,Deggendorf,Passau,52734.7
181,Deggendorf,Deggendorf,0.0
182,Deggendorf,Burghausen,106036.6
183,Deggendorf,"Weißenburg, Bayern",213838.0
184,Deggendorf,Freising,111825.5
185,Deggendorf,Moosburg a.d. Isar,92647.9
186,Deggendorf,Vilsbiburg,72521.2
187,Deggendorf,Landau a.d. Isar,33501.6
188,Deggendorf,Mainburg,102087.5
189,Deggendorf,Abensberg,111034.0
190,Deggendorf,Schierling,93398.6
191,Deggendorf,Schrobenhausen,175229.1
192,Deggendorf,Erding,114726.5
193,Deggendorf,Pfarrkirchen,70070.3
194,Deggendorf,Osterhofen,24645.0
195,Deggendorf,Eichstätt,159174.3
196,Deggendorf,Neuburg a.d. Donau,182353.5
197,Deggendorf,Kösching,142466.8
198,Deggendorf,Pfaffenhofen a.d. Ilm,151830.3
199,Deggendorf,München,146330.2
200,Burghausen,Augsburg,179395.0
201,Burghausen,Ingolstadt,179055.8
202,Burghausen,Regensburg,146436.1
203,Burghausen,Landshut,83156.0
204,Burghausen,Straubing,103256.1
205,Burghausen,Passau,84210.2
206,Burghausen,Deggendorf,106036.6
207,Burghausen,Burghausen,0.0
208,Burghausen,"Weißenburg, Bayern",234093.9
209,Burghausen,Freising,115626.5
210,Burghausen,Moosburg a.d. Isar,106241.1
211,Burghausen,Vilsbiburg,60706.6
212,Burghausen,Landau a.d. Isar,74609.6
213,Burghausen,Mainburg,116731.8
214,Burghausen,Abensberg,130780.8
215,Burghausen,Schierling,121434.0
216,Burghausen,Schrobenhausen,172932.7
217,Burghausen,Erding,92395.9
218,Burghausen,Pfarrkirchen,40513.4
219,Burghausen,Osterhofen,78318.1
220,Burghausen,Eichstätt,208372.5
221,Burghausen,Neuburg a.d. Donau,195041.4
222,Burghausen,Kösching,185467.5
223,Burghausen,Pfaffenhofen a.d. Ilm,152307.9
224,Burghausen,München,113182.0
225,"Weißenburg, Bayern",Augsburg,85505.9
226,"Weißenburg, Bayern",Ingolstadt,52742.2
227,"Weißenburg, Bayern",Regensburg,147853.1
228,"Weißenburg, Bayern",Landshut,130105.9
229,"Weißenburg, Bayern",Straubing,187731.3
230,"Weißenburg, Bayern",Passau,261615.8
231,"Weißenburg, Bayern",Deggendorf,213838.0
232,"Weißenburg, Bayern",Burghausen,234093.9
233,"Weißenburg, Bayern","Weißenburg, Bayern",0.0
234,"Weißenburg, Bayern",Freising,113819.3
235,"Weißenburg, Bayern",Moosburg a.d. Isar,121779.3
236,"Weißenburg, Bayern",Vilsbiburg,180689.9
237,"Weißenburg, Bayern",Landau a.d. Isar,217524.5
238,"Weißenburg, Bayern",Mainburg,97646.3
239,"Weißenburg, Bayern",Abensberg,97173.8
